career,Title,Skills,Keywords,Responsibilities
Android Tech Lead,Android Tech Lead,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Room; Unit Testing,Agile Android NDK CI/CD Debugging Dependency Injection Firebase Jetpack Kotlin MVVM Material Design Performance Optimization Play Store REST API Room Unit Testing,"Lead Android development teams for enterprise apps.; Oversee architecture, modularization, and app performance.; Integrate Firebase services for analytics and messaging.; Ensure CI/CD pipelines and automated tests run smoothly.; Guide and mentor engineers on best coding practices."
Ar/vr Developer,Ar/vr Developer,3D modeling and animation expert; 3D modeling and graphics; 3D modeling basics; 3D modeling fundamentals; 3D modeling/animation advanced; 3D modeling/animation expert; ARCore; ARCore advanced; ARCore basics; ARKit; ARKit advanced; ARKit basics; Advanced 3D graphics; Advanced 3D modeling and animation; Advanced 3D modeling/animation; Blender basics; Blender/Maya basics; C# advanced; C# basics; C# expert; C++; C++ advanced; C++ basics; Collaboration; Communication; Creativity; Cross-platform deployment; Cross-platform development; Cross-platform optimization; Gesture and motion tracking; Gesture/motion tracking; Hardware integration; JavaScript advanced; JavaScript basics; Leadership; Machine learning basics; Maya basics; Motion tracking basics; Performance optimization; Performance tuning; Problem-solving; Project coordination; Project management; Python basics; Spatial computing; Spatial computing basics; Team collaboration; Team management; Teamwork; UI/UX advanced; UI/UX design advanced; UI/UX design expert; UI/UX expert; UI/UX fundamentals; Unity; Unity advanced; Unity basics; Unreal Engine advanced; Unreal Engine basics; Unreal Engine expert; Vuforia,3D Graphics 3D Modeling ARCore ARKit C# Cross-Platform JavaScript Machine Learning Motion Tracking Performance Optimization Spatial Computing Unity Unreal Engine,"Assist in developing AR/VR applications; Create basic 3D models and animations; Support Unity and Unreal Engine projects; Collaborate with design teams on UI/UX; Test and debug AR/VR interactions; Document development processes Support AR/VR project development; Develop basic interactive 3D content; Assist in Unity and Unreal Engine workflows; Integrate basic gestures and motion tracking; Collaborate with UI/UX designers; Test and debug AR/VR applications Assist in AR/VR application development; Support 3D modeling and animation tasks; Help implement basic AR/VR interactions; Test AR/VR applications for functionality; Document development work; Collaborate with cross-functional teams Develop basic AR/VR interactions; Assist with 3D modeling and animation; Support Unity and Unreal Engine projects; Integrate basic gestures and motion tracking; Collaborate with designers and developers; Test and debug AR/VR content Assist in AR/VR project tasks; Create basic interactive 3D models; Support development in Unity and Unreal Engine; Help integrate ARKit/ARCore features; Collaborate with design teams; Perform testing and debugging of AR/VR interactions Design and develop immersive AR/VR applications; Lead AR/VR projects using Unity and Unreal Engine; Integrate ARKit, ARCore, and Vuforia features; Optimize 3D models and graphics performance; Manage cross-platform deployment; Mentor junior developers and designers; Collaborate with multidisciplinary teams Lead development of AR/VR applications; Implement advanced 3D graphics and animations; Integrate ARKit, ARCore, Vuforia, and WebVR; Optimize performance and hardware integration; Guide cross-platform development; Mentor team members; Coordinate with project stakeholders Architect AR/VR experiences; Implement advanced 3D modeling and interactive animations; Integrate hardware and optimize performance; Lead cross-platform deployments; Mentor and guide development teams; Collaborate with design and product teams; Manage AR/VR project timelines Lead AR/VR application architecture and development; Design and implement advanced interactive experiences; Optimize 3D assets and performance; Integrate cross-platform AR/VR features; Mentor and train junior developers; Collaborate with multidisciplinary teams; Ensure project delivery on time and quality standards Lead AR/VR development projects; Architect immersive and interactive applications; Optimize graphics performance and hardware integration; Oversee cross-platform deployment; Mentor teams and review code/designs; Collaborate with design and engineering teams; Manage timelines and deliverables Architect and lead AR/VR applications; Develop interactive and immersive experiences; Optimize 3D modeling and rendering; Integrate cross-platform AR/VR features; Mentor junior developers; Collaborate across teams; Ensure high-quality deliverables and timelines Lead AR/VR projects from concept to deployment; Develop advanced 3D modeling and animations; Optimize performance across platforms; Integrate AR/VR frameworks and hardware; Mentor and manage development teams; Collaborate with design and product teams; Ensure project success and quality Architect and lead development of AR/VR applications; Create interactive and immersive experiences; Optimize graphics performance and cross-platform deployment; Integrate AR/VR frameworks and hardware; Mentor development teams; Collaborate across design, product, and engineering teams; Manage project timelines and quality Lead AR/VR application architecture and development; Develop immersive interactive experiences; Optimize 3D graphics and cross-platform performance; Integrate AR/VR frameworks and hardware; Mentor and guide development teams; Collaborate with multidisciplinary teams; Ensure timely delivery and quality standards Oversee AR/VR development projects; Design and implement immersive experiences; Optimize 3D assets and performance; Integrate AR/VR frameworks across platforms; Mentor and manage development teams; Collaborate with cross-functional teams; Ensure high-quality project delivery Lead architecture and development of AR/VR applications; Develop immersive interactive experiences; Optimize 3D graphics and cross-platform performance; Integrate AR/VR frameworks and hardware; Mentor and guide teams; Collaborate across multidisciplinary teams; Manage project timelines and quality Architect and lead AR/VR development projects; Develop advanced immersive experiences; Optimize 3D modeling, animation, and performance; Integrate AR/VR frameworks and hardware; Mentor teams; Collaborate with cross-functional departments; Ensure project quality and deadlines Lead AR/VR application architecture; Develop immersive and interactive experiences; Optimize graphics performance and cross-platform integration; Integrate AR/VR frameworks and hardware; Mentor developers; Collaborate with multidisciplinary teams; Ensure project delivery and quality standards Architect AR/VR development projects; Develop advanced immersive experiences; Optimize 3D graphics and performance; Integrate AR/VR frameworks and hardware; Mentor and manage teams; Collaborate with design, product, and engineering teams; Ensure timely and quality delivery Lead AR/VR application development; Design and implement immersive interactive experiences; Optimize 3D graphics and cross-platform performance; Integrate AR/VR frameworks and hardware; Mentor and manage development teams; Collaborate across multidisciplinary teams; Ensure project delivery with quality standards"
Associate Android Developer,Associate Android Developer,Android Studio; Git; Java; Kotlin; REST API; SQLite; UI/UX Design; XML,Android Studio Java Kotlin Material Design REST API SQLite UI/UX Design,Develop academic or POC Android app features.; Ensure proper UI/UX implementation using Material Design.; Connect apps to REST APIs and handle JSON data.; Debug minor issues and maintain local storage.; Follow version control practices using Git.
Associate Cloud Architect,Associate Cloud Architect,AWS basics; Azure basics; Cloud database basics; Docker; Linux administration,AWS Azure Cloud Computing Cloud Databases Docker Virtualization,Assist with cloud deployments; Configure test databases in cloud; Work on container deployments
Associate Cybersecurity Analyst,Associate Cybersecurity Analyst,Firewall Basics; GDPR Basics; Incident Response; Linux Security; Wireshark,Firewall Management Incident Response Network Security SIEM Vulnerability Scanning,Help configure security policies; Assist with incident logging; Participate in security awareness programs; Analyze basic threat alerts
Associate Ios Engineer,Associate Ios Engineer,Git; JSON; Objective-C; REST APIs; Swift,JSON Mobile Testing Objective-C REST APIs Swift,Contribute to small-scale features in ongoing apps.; Connect APIs and test data flow.; Implement responsive UI layouts.; Assist with regression testing after updates.; Learn code review practices with peers.
Associate Network Engineer,Associate Network Engineer,Bash Basics; Cisco IOS; DHCP; DNS; Python Basics; Subnetting,Cisco IOS DHCP DNS Entry-Level Networking Subnetting,Assist with router/switch configuration; Help troubleshoot network outages; Document network processes; Perform routine maintenance
Associate System Engineer,Associate System Engineer,Cloud Concepts; Linux Administration Basics; Perl Basics; TCP/IP; VMware,Automation Basics Cloud Computing Linux Systems Engineering VMware,Assist in configuring servers; Troubleshoot network issues; Write simple automation scripts; Provide system documentation; Collaborate with senior engineers
Associate Ux Designer,Associate Ux Designer,Adobe XD; Figma; Prototyping; Sketch; Team Collaboration; Typography; User Research Basics; Wireframes,Collaboration Figma Sketch Typography User Flows User Research Wireframing,Support UX team in preparing design documentation; Conduct interviews for basic user insights; Design entry-level interactive prototypes; Participate in brainstorming sessions; Apply color theory and layout concepts in mockups
Backend Developer,Backend Developer,AWS; Agile; Azure; CI/CD; CI/CD basics; Cloud; Cloud Basics; Cloud Platforms; Django; Docker; Express.js; Flask; GCP; Git; Go; GraphQL; GraphQL basics; HIPAA compliance; Java; Kubernetes; Microservices; MongoDB; MySQL; Node.js; PostgreSQL; Python; RESTful API; Redis; Security; Spring Boot; gRPC,AI API Development Agile Backend Developer Cloud Cloud Awareness E-commerce Experienced Fintech Fresher Healthcare Logistics Media Streaming Microservices SaaS Security Server-Side Server-Side Development Social Media,"Assist in building server-side applications; Develop RESTful APIs; Work with SQL/NoSQL databases; Participate in testing and debugging; Learn cloud deployment and security fundamentals Implement scalable backend services; Develop APIs using Node.js or Django; Write queries for SQL/NoSQL databases; Perform unit testing; Participate in Agile development workflows Develop and maintain backend APIs; Optimize database queries; Implement caching strategies; Follow coding best practices; Learn cloud deployment and security fundamentals Server-side development for web and mobile apps; Implement RESTful APIs; Manage SQL/NoSQL databases; Optimize performance; Participate in Agile development processes Design and develop backend services; Write efficient queries; Implement RESTful APIs; Collaborate with frontend developers; Learn cloud deployment and security best practices Develop backend modules; Assist in API development and database management; Perform testing; Learn performance optimization techniques; Understand cloud deployment and security measures Assist in developing backend services for web apps; Implement RESTful APIs; Work with SQL/NoSQL databases; Optimize performance; Participate in Agile sprints Server-side components for web and mobile apps; Assist in building RESTful APIs; Optimize database queries; Collaborate with frontend teams; Learn cloud deployment and DevOps fundamentals Assist in backend development of scalable APIs; Manage databases; Implement caching strategies; Participate in testing; Learn cloud deployment and security best practices Assist in backend development; Develop APIs; Manage databases; Optimize performance; Learn cloud deployment and security fundamentals Design, develop, and maintain backend services; Implement RESTful APIs; Manage SQL/NoSQL databases; Optimize queries; Ensure security and authentication; Deploy applications on cloud platforms Lead backend development for fintech applications; Build scalable microservices; Implement secure RESTful and GraphQL APIs; Optimize database performance; Deploy applications on AWS Architect backend systems for healthcare applications; Develop APIs; Manage large-scale SQL/NoSQL databases; Implement caching strategies; Ensure HIPAA-compliant security Lead backend engineering for e-commerce platforms; Implement secure and scalable APIs; Optimize SQL/NoSQL databases; Manage caching strategies; Deploy using CI/CD pipelines Design backend services for AI-powered applications; Build scalable REST and GraphQL APIs; Manage SQL/NoSQL databases; Integrate with ML pipelines; Deploy on cloud platforms Lead backend infrastructure for logistics platforms; Implement microservices; Manage distributed SQL/NoSQL databases; Optimize API performance; Ensure security and compliance Architect backend solutions for SaaS applications; Build secure and scalable RESTful APIs; Manage SQL/NoSQL databases; Implement caching and CI/CD pipelines; Monitor performance Develop backend systems for fintech and banking applications; Implement secure APIs; Optimize database performance; Deploy microservices on cloud; Maintain compliance with security regulations Lead backend development for large-scale social media platforms; Build microservices; Develop APIs; Optimize database performance; Ensure security, scalability, and reliability Architect backend solutions for media streaming platforms; Build secure RESTful and GraphQL APIs; Manage distributed databases; Optimize caching; Deploy microservices and maintain high-performance systems"
Bi Analyst,Bi Analyst,Advanced BI modeling; Advanced Tableau; Advanced analytics; Basic data analysis; Basic statistical analysis; Basic statistics; Business acumen; Business metrics awareness; Business process knowledge; Complex SQL queries; Data analysis; Data governance; Data integration; Data modeling; ETL awareness; ETL knowledge; ETL pipeline design; ETL pipeline management; ETL pipelines; ETL process awareness; ETL process knowledge; ETL process understanding; ETL understanding; Excel; Excel charts; Excel charts and dashboards; Excel charts and pivot tables; Excel dashboards; Excel visualization; Forecasting; KPI and performance metrics development; KPI definition; KPI development; KPI knowledge; KPI monitoring; KPI strategy; KPI understanding; Looker; MySQL; MySQL basics; MySQL/PostgreSQL; PostgreSQL; PostgreSQL basics; Power BI; Predictive analytics; Predictive modeling; QlikView; Redshift; SQL; SQL & Database management; SQL optimization; SQL queries; SQL querying; Snowflake; Statistics; Tableau,Analytics BI Business Intelligence ETL Entry-Level Fresher Power BI Predictive Analytics Reporting SQL Senior-Level Tableau,"Assist in analyzing datasets; Create dashboards; Prepare reports; Support business decision-making processes Support teams in building dashboards; Extract insights from data; Assist in reporting and analysis Generate business reports; Analyze sales and operational data; Support visualization tasks Create reports; Visualize business data; Assist in preparing dashboards for executive insights Develop dashboards; Extract insights from datasets; Support reporting requirements Support teams in analyzing business data; Prepare dashboards; Assist in reporting for decision-making Build interactive dashboards; Prepare data for visualization; Support business reporting tasks Prepare reports; Dashboards; Visual insights; Support junior data initiatives Support business teams; Extract, clean, and visualize data; Assist in reporting and decision support Lead BI and analytics projects; Design dashboards; Implement predictive analytics; Manage ETL pipelines to support business strategy Develop and optimize dashboards; Implement advanced analytics solutions; Oversee ETL and data warehousing projects Lead BI initiatives; Develop predictive models; Manage data integration; Mentor junior analysts Design advanced dashboards; Implement predictive analytics; Optimize SQL workflows; Oversee ETL pipelines for large-scale data projects Lead business intelligence projects; Manage ETL and data pipelines; Develop predictive models; Mentor junior BI analysts Develop predictive analytics dashboards; Manage ETL processes; Optimize SQL queries; Lead BI teams for strategic insights Lead complex BI and analytics projects; Develop advanced dashboards; Optimize data pipelines; Mentor junior analysts Manage large-scale BI projects; Implement predictive analytics; Optimize ETL and SQL workflows; Provide strategic business insights Lead BI teams; Optimize data pipelines; Develop advanced dashboards; Oversee predictive analytics projects Manage BI projects; Lead predictive analytics initiatives; Optimize ETL and SQL workflows; Deliver business insights Manage BI projects; Implement predictive analytics; Optimize ETL and SQL workflows; Provide strategic business insights"
